series,date,type,value
abs,2023-01-01,e5,304431.413
abs,2023-01-01,e6,275392.741
abs,2023-04-01,e0,439683.422
abs,2023-04-01,e1,262876.702
abs,2023-04-01,e2,49083.562
abs,2023-04-01,e3,89377.783
abs,2023-04-01,e4,20921.873
abs,2023-04-01,e5,302578.629
abs,2023-04-01,e6,285155.128
abs,2023-07-01,e0,463163.026
abs,2023-07-01,e1,288789.147
abs,2023-07-01,e2,52559.591
abs,2023-07-01,e3,86109.334
abs,2023-07-01,e4,12628.051
abs,2023-07-01,e5,312074.968
abs,2023-07-01,e6,288998.065
abs,2023-10-01,e0,476725.621
abs,2023-10-01,e1,281766.415
abs,2023-10-01,e2,68589.793
abs,2023-10-01,e3,88894.095
abs,2023-10-01,e4,14055.985
abs,2023-10-01,e5,331097.51
abs,2023-10-01,e6,307678.177
abs,2024-01-01,e0,464970.479
abs,2024-01-01,e1,284612.578
abs,2024-01-01,e2,51922.176
abs,2024-01-01,e3,95431.753
abs,2024-01-01,e4,8282.638
abs,2024-01-01,e5,327958.994
abs,2024-01-01,e6,303237.661
abs,2024-04-01,e0,472495.412
abs,2024-04-01,e1,281586.602
abs,2024-04-01,e2,51747.244
abs,2024-04-01,e3,100984.491
abs,2024-04-01,e4,18514.543
abs,2024-04-01,e5,336878.273
abs,2024-04-01,e6,317215.741
abs,2024-07-01,e0,490640.984
abs,2024-07-01,e1,307468.695
abs,2024-07-01,e2,56155.941
abs,2024-07-01,e3,100594.09
abs,2024-07-01,e4,4862.797
abs,2024-07-01,e5,353428.654
abs,2024-07-01,e6,331869.193
growth_yoy,2016-01-01,e0,4.748
growth_yoy,2016-01-01,e1,8.142
growth_yoy,2016-01-01,e2,3.645
growth_yoy,2016-01-01,e3,2.218
growth_yoy,2016-01-01,e5,1.648
growth_yoy,2016-01-01,e6,5.391
growth_yoy,2016-04-01,e0,5.352
growth_yoy,2016-04-01,e1,7.789
growth_yoy,2016-04-01,e2,6.435
growth_yoy,2016-04-01,e3,8.34
growth_yoy,2016-04-01,e5,2.535
growth_yoy,2016-04-01,e6,4.076
growth_yoy,2016-07-01,e0,6.494
growth_yoy,2016-07-01,e1,7.553
growth_yoy,2016-07-01,e2,3.188
growth_yoy,2016-07-01,e3,4.096
growth_yoy,2016-07-01,e5,0.23
growth_yoy,2016-07-01,e6,-0.498
growth_yoy,2016-10-01,e0,7.958
growth_yoy,2016-10-01,e1,7.77
growth_yoy,2016-10-01,e2,-3.146
growth_yoy,2016-10-01,e3,4.262
growth_yoy,2016-10-01,e5,3.872
growth_yoy,2016-10-01,e6,3.675
growth_yoy,2017-01-01,e0,11.422
growth_yoy,2017-01-01,e1,10.999
growth_yoy,2017-01-01,e2,9.247
growth_yoy,2017-01-01,e3,11.461
growth_yoy,2017-01-01,e5,17.532
growth_yoy,2017-01-01,e6,18.357
growth_yoy,2017-04-01,e0,10.191
growth_yoy,2017-04-01,e1,10.976
growth_yoy,2017-04-01,e2,4.848
growth_yoy,2017-04-01,e3,5.904
growth_yoy,2017-04-01,e5,17.605
growth_yoy,2017-04-01,e6,15.699
growth_yoy,2017-07-01,e0,9.759
growth_yoy,2017-07-01,e1,11.154
growth_yoy,2017-07-01,e2,4.642
growth_yoy,2017-07-01,e3,8.56
growth_yoy,2017-07-01,e5,17.223
growth_yoy,2017-07-01,e6,17.427
growth_yoy,2017-10-01,e0,8.095
growth_yoy,2017-10-01,e1,10.954
growth_yoy,2017-10-01,e2,7.446
growth_yoy,2017-10-01,e3,5.678
growth_yoy,2017-10-01,e5,8.982
growth_yoy,2017-10-01,e6,10.362
growth_yoy,2018-01-01,e0,5.475
growth_yoy,2018-01-01,e1,8.758
growth_yoy,2018-01-01,e2,0.718
growth_yoy,2018-01-01,e3,0.705
growth_yoy,2018-01-01,e5,2.385
growth_yoy,2018-01-01,e6,-1.42
growth_yoy,2018-04-01,e0,5.749
growth_yoy,2018-04-01,e1,9.551
growth_yoy,2018-04-01,e2,3.501
growth_yoy,2018-04-01,e3,2.187
growth_yoy,2018-04-01,e5,2.719
growth_yoy,2018-04-01,e6,4.675
growth_yoy,2018-07-01,e0,5.831
growth_yoy,2018-07-01,e1,9.858
growth_yoy,2018-07-01,e2,5.356
growth_yoy,2018-07-01,e3,3.044
growth_yoy,2018-07-01,e5,2.904
growth_yoy,2018-07-01,e6,5.34
growth_yoy,2018-10-01,e0,4.966
growth_yoy,2018-10-01,e1,9.283
growth_yoy,2018-10-01,e2,4.309
growth_yoy,2018-10-01,e3,1.514
growth_yoy,2018-10-01,e5,5.102
growth_yoy,2018-10-01,e6,4.609
growth_yoy,2019-01-01,e0,4.558
growth_yoy,2019-01-01,e1,8.438
growth_yoy,2019-01-01,e2,5.508
growth_yoy,2019-01-01,e3,-2.709
growth_yoy,2019-01-01,e5,1.269
growth_yoy,2019-01-01,e6,-0.595
growth_yoy,2019-04-01,e0,4.992
growth_yoy,2019-04-01,e1,9.107
growth_yoy,2019-04-01,e2,0.057
growth_yoy,2019-04-01,e3,0.718
growth_yoy,2019-04-01,e5,1.339
growth_yoy,2019-04-01,e6,-1.091
growth_yoy,2019-07-01,e0,3.903
growth_yoy,2019-07-01,e1,8.221
growth_yoy,2019-07-01,e2,0.663
growth_yoy,2019-07-01,e3,-2.21
growth_yoy,2019-07-01,e5,-1.372
growth_yoy,2019-07-01,e6,-4.246
growth_yoy,2019-10-01,e0,4.521
growth_yoy,2019-10-01,e1,9.269
growth_yoy,2019-10-01,e2,1.172
growth_yoy,2019-10-01,e3,0.308
growth_yoy,2019-10-01,e5,-2.984
growth_yoy,2019-10-01,e6,-3.566
growth_yoy,2020-01-01,e0,1.309
growth_yoy,2020-01-01,e1,8.051
growth_yoy,2020-01-01,e2,5.421
growth_yoy,2020-01-01,e3,-4.296
growth_yoy,2020-01-01,e5,-6.523
growth_yoy,2020-01-01,e6,-1.872
growth_yoy,2020-04-01,e0,-18.428
growth_yoy,2020-04-01,e1,-18.722
growth_yoy,2020-04-01,e2,0.106
growth_yoy,2020-04-01,e3,-29.727
growth_yoy,2020-04-01,e5,-24.695
growth_yoy,2020-04-01,e6,-21.344
growth_yoy,2020-07-01,e0,-3.539
growth_yoy,2020-07-01,e1,-2.202
growth_yoy,2020-07-01,e2,8.653
growth_yoy,2020-07-01,e3,-10.624
growth_yoy,2020-07-01,e5,-9.113
growth_yoy,2020-07-01,e6,-10.9
growth_yoy,2020-10-01,e0,-4.286
growth_yoy,2020-10-01,e1,-4.119
growth_yoy,2020-10-01,e2,3.339
growth_yoy,2020-10-01,e3,-12.112
growth_yoy,2020-10-01,e5,-6.015
growth_yoy,2020-10-01,e6,-6.932
growth_yoy,2021-01-01,e0,1.092
growth_yoy,2021-01-01,e1,-1.354
growth_yoy,2021-01-01,e2,6.826
growth_yoy,2021-01-01,e3,-2.546
growth_yoy,2021-01-01,e5,9.717
growth_yoy,2021-01-01,e6,9.761
growth_yoy,2021-04-01,e0,23.523
growth_yoy,2021-04-01,e1,14.338
growth_yoy,2021-04-01,e2,11.731
growth_yoy,2021-04-01,e3,18.827
growth_yoy,2021-04-01,e5,43.83
growth_yoy,2021-04-01,e6,38.583
growth_yoy,2021-07-01,e0,2.641
growth_yoy,2021-07-01,e1,-1.733
growth_yoy,2021-07-01,e2,2.052
growth_yoy,2021-07-01,e3,-10.302
growth_yoy,2021-07-01,e5,21.298
growth_yoy,2021-07-01,e6,25.877
growth_yoy,2021-10-01,e0,11.904
growth_yoy,2021-10-01,e1,6.439
growth_yoy,2021-10-01,e2,5.846
growth_yoy,2021-10-01,e3,-0.107
growth_yoy,2021-10-01,e5,29.226
growth_yoy,2021-10-01,e6,29.244
growth_yoy,2022-01-01,e0,13.786
growth_yoy,2022-01-01,e1,7.637
growth_yoy,2022-01-01,e2,7.675
growth_yoy,2022-01-01,e3,2.68
growth_yoy,2022-01-01,e5,23.903
growth_yoy,2022-01-01,e6,25.041
growth_yoy,2022-04-01,e0,18.851
growth_yoy,2022-04-01,e1,21.201
growth_yoy,2022-04-01,e2,3.866
growth_yoy,2022-04-01,e3,8.291
growth_yoy,2022-04-01,e5,29.157
growth_yoy,2022-04-01,e6,33.295
growth_yoy,2022-07-01,e0,21.076
growth_yoy,2022-07-01,e1,20.154
growth_yoy,2022-07-01,e2,8.204
growth_yoy,2022-07-01,e3,16.088
growth_yoy,2022-07-01,e5,34.565
growth_yoy,2022-07-01,e6,34.727
growth_yoy,2022-10-01,e0,10.286
growth_yoy,2022-10-01,e1,11.965
growth_yoy,2022-10-01,e2,5.404
growth_yoy,2022-10-01,e3,11.282
growth_yoy,2022-10-01,e5,17.421
growth_yoy,2022-10-01,e6,16.902
