series,date,sector,value
abs,2023-07-01,p4,17067.0
abs,2023-07-01,p5,259246.0
abs,2023-07-01,p6,5107.0
abs,2023-10-01,p0,476726.0
abs,2023-10-01,p1,37694.0
abs,2023-10-01,p2,39154.0
abs,2023-10-01,p3,108719.0
abs,2023-10-01,p4,16541.0
abs,2023-10-01,p5,268994.0
abs,2023-10-01,p6,5623.0
abs,2024-01-01,p0,464970.479
abs,2024-01-01,p1,32690.376
abs,2024-01-01,p2,44968.537
abs,2024-01-01,p3,104656.403
abs,2024-01-01,p4,18272.606
abs,2024-01-01,p5,259443.125
abs,2024-01-01,p6,4939.432
abs,2024-04-01,p0,472495.412
abs,2024-04-01,p1,36502.767
abs,2024-04-01,p2,42472.319
abs,2024-04-01,p3,106610.77
abs,2024-04-01,p4,19147.773
abs,2024-04-01,p5,262326.502
abs,2024-04-01,p6,5435.28
abs,2024-07-01,p0,490640.984
abs,2024-07-01,p1,43810.086
abs,2024-07-01,p2,33598.802
abs,2024-07-01,p3,111677.105
abs,2024-07-01,p4,20636.694
abs,2024-07-01,p5,274718.338
abs,2024-07-01,p6,6199.96
growth_yoy,2016-01-01,p0,4.748
growth_yoy,2016-01-01,p1,1.181
growth_yoy,2016-01-01,p2,-5.794
growth_yoy,2016-01-01,p3,3.457
growth_yoy,2016-01-01,p4,11.087
growth_yoy,2016-01-01,p5,6.576
growth_yoy,2016-01-01,p6,31.26
growth_yoy,2016-04-01,p0,5.352
growth_yoy,2016-04-01,p1,4.237
growth_yoy,2016-04-01,p2,-1.173
growth_yoy,2016-04-01,p3,3.548
growth_yoy,2016-04-01,p4,11.82
growth_yoy,2016-04-01,p5,6.76
growth_yoy,2016-04-01,p6,8.033
growth_yoy,2016-07-01,p0,6.494
growth_yoy,2016-07-01,p1,10.64
growth_yoy,2016-07-01,p2,0.085
growth_yoy,2016-07-01,p3,2.956
growth_yoy,2016-07-01,p4,10.703
growth_yoy,2016-07-01,p5,7.755
growth_yoy,2016-07-01,p6,9.031
growth_yoy,2016-10-01,p0,7.958
growth_yoy,2016-10-01,p1,16.617
growth_yoy,2016-10-01,p2,10.8
growth_yoy,2016-10-01,p3,5.232
growth_yoy,2016-10-01,p4,7.801
growth_yoy,2016-10-01,p5,7.472
growth_yoy,2016-10-01,p6,5.215
growth_yoy,2017-01-01,p0,11.422
growth_yoy,2017-01-01,p1,26.007
growth_yoy,2017-01-01,p2,23.098
growth_yoy,2017-01-01,p3,10.135
growth_yoy,2017-01-01,p4,9.239
growth_yoy,2017-01-01,p5,8.263
growth_yoy,2017-01-01,p6,12.693
growth_yoy,2017-04-01,p0,10.191
growth_yoy,2017-04-01,p1,9.828
growth_yoy,2017-04-01,p2,15.577
growth_yoy,2017-04-01,p3,11.212
growth_yoy,2017-04-01,p4,10.972
growth_yoy,2017-04-01,p5,8.808
growth_yoy,2017-04-01,p6,15.588
growth_yoy,2017-07-01,p0,9.759
growth_yoy,2017-07-01,p1,6.87
growth_yoy,2017-07-01,p2,18.828
growth_yoy,2017-07-01,p3,11.176
growth_yoy,2017-07-01,p4,8.276
growth_yoy,2017-07-01,p5,8.371
growth_yoy,2017-07-01,p6,20.263
growth_yoy,2017-10-01,p0,8.095
growth_yoy,2017-10-01,p1,6.894
growth_yoy,2017-10-01,p2,10.135
growth_yoy,2017-10-01,p3,7.861
growth_yoy,2017-10-01,p4,7.443
growth_yoy,2017-10-01,p5,7.873
growth_yoy,2017-10-01,p6,18.054
growth_yoy,2018-01-01,p0,5.475
growth_yoy,2018-01-01,p1,-5.734
growth_yoy,2018-01-01,p2,4.098
growth_yoy,2018-01-01,p3,4.242
growth_yoy,2018-01-01,p4,5.973
growth_yoy,2018-01-01,p5,7.763
growth_yoy,2018-01-01,p6,11.972
growth_yoy,2018-04-01,p0,5.749
growth_yoy,2018-04-01,p1,-7.631
growth_yoy,2018-04-01,p2,14.082
growth_yoy,2018-04-01,p3,3.648
growth_yoy,2018-04-01,p4,5.848
growth_yoy,2018-04-01,p5,7.5
growth_yoy,2018-04-01,p6,-1.646
growth_yoy,2018-07-01,p0,5.831
growth_yoy,2018-07-01,p1,-7.803
growth_yoy,2018-07-01,p2,16.557
growth_yoy,2018-07-01,p3,4.346
growth_yoy,2018-07-01,p4,5.734
growth_yoy,2018-07-01,p5,8.076
growth_yoy,2018-07-01,p6,-31.613
growth_yoy,2018-10-01,p0,4.966
growth_yoy,2018-10-01,p1,-9.946
growth_yoy,2018-10-01,p2,10.71
growth_yoy,2018-10-01,p3,3.635
growth_yoy,2018-10-01,p4,3.467
growth_yoy,2018-10-01,p5,7.513
growth_yoy,2018-10-01,p6,-15.524
growth_yoy,2019-01-01,p0,4.558
growth_yoy,2019-01-01,p1,-1.636
growth_yoy,2019-01-01,p2,2.959
growth_yoy,2019-01-01,p3,3.655
growth_yoy,2019-01-01,p4,1.592
growth_yoy,2019-01-01,p5,6.999
growth_yoy,2019-01-01,p6,-20.368
growth_yoy,2019-04-01,p0,4.992
growth_yoy,2019-04-01,p1,-1.771
growth_yoy,2019-04-01,p2,3.024
growth_yoy,2019-04-01,p3,4.395
growth_yoy,2019-04-01,p4,2.338
growth_yoy,2019-04-01,p5,6.934
growth_yoy,2019-04-01,p6,-5.085
growth_yoy,2019-07-01,p0,3.903
growth_yoy,2019-07-01,p1,1.736
growth_yoy,2019-07-01,p2,-10.513
growth_yoy,2019-07-01,p3,3.469
growth_yoy,2019-07-01,p4,-0.083
growth_yoy,2019-07-01,p5,6.565
growth_yoy,2019-07-01,p6,33.539
growth_yoy,2019-10-01,p0,4.521
growth_yoy,2019-10-01,p1,4.232
growth_yoy,2019-10-01,p2,-6.655
growth_yoy,2019-10-01,p3,4.109
growth_yoy,2019-10-01,p4,2.069
growth_yoy,2019-10-01,p5,6.911
growth_yoy,2019-10-01,p6,-4.4
growth_yoy,2020-01-01,p0,1.309
growth_yoy,2020-01-01,p1,-1.566
growth_yoy,2020-01-01,p2,-9.916
growth_yoy,2020-01-01,p3,3.462
growth_yoy,2020-01-01,p4,-6.183
growth_yoy,2020-01-01,p5,3.751
growth_yoy,2020-01-01,p6,-14.774
growth_yoy,2020-04-01,p0,-18.428
growth_yoy,2020-04-01,p1,4.631
growth_yoy,2020-04-01,p2,-39.115
growth_yoy,2020-04-01,p3,-18.613
growth_yoy,2020-04-01,p4,-44.187
growth_yoy,2020-04-01,p5,-15.547
growth_yoy,2020-04-01,p6,-19.208
growth_yoy,2020-07-01,p0,-3.539
growth_yoy,2020-07-01,p1,8.436
growth_yoy,2020-07-01,p2,-27.516
growth_yoy,2020-07-01,p3,2.255
growth_yoy,2020-07-01,p4,-12.182
growth_yoy,2020-07-01,p5,-3.33
growth_yoy,2020-07-01,p6,-8.233
growth_yoy,2020-10-01,p0,-4.286
growth_yoy,2020-10-01,p1,10.494
growth_yoy,2020-10-01,p2,-30.187
growth_yoy,2020-10-01,p3,2.484
growth_yoy,2020-10-01,p4,-13.704
growth_yoy,2020-10-01,p5,-4.51
growth_yoy,2020-10-01,p6,12.211
growth_yoy,2021-01-01,p0,1.092
growth_yoy,2021-01-01,p1,18.716
growth_yoy,2021-01-01,p2,-3.896
growth_yoy,2021-01-01,p3,7.601
growth_yoy,2021-01-01,p4,-10.371
growth_yoy,2021-01-01,p5,-2.091
growth_yoy,2021-01-01,p6,17.448
growth_yoy,2021-04-01,p0,23.523
growth_yoy,2021-04-01,p1,30.992
growth_yoy,2021-04-01,p2,52.177
growth_yoy,2021-04-01,p3,31.359
growth_yoy,2021-04-01,p4,42.72
growth_yoy,2021-04-01,p5,14.829
growth_yoy,2021-04-01,p6,30.179
growth_yoy,2021-07-01,p0,2.641
growth_yoy,2021-07-01,p1,24.684
growth_yoy,2021-07-01,p2,34.96
growth_yoy,2021-07-01,p3,6.076
growth_yoy,2021-07-01,p4,-18.879
growth_yoy,2021-07-01,p5,-3.556
growth_yoy,2021-07-01,p6,-6.61
growth_yoy,2021-10-01,p0,11.904
growth_yoy,2021-10-01,p1,35.982
growth_yoy,2021-10-01,p2,48.034
growth_yoy,2021-10-01,p3,16.993
growth_yoy,2021-10-01,p4,-9.161
growth_yoy,2021-10-01,p5,4.467
growth_yoy,2021-10-01,p6,-3.252
growth_yoy,2022-01-01,p0,13.786
growth_yoy,2022-01-01,p1,28.71
growth_yoy,2022-01-01,p2,43.986
growth_yoy,2022-01-01,p3,14.367
growth_yoy,2022-01-01,p4,-1.837
growth_yoy,2022-01-01,p5,8.448
growth_yoy,2022-01-01,p6,-0.385
growth_yoy,2022-04-01,p0,18.851
growth_yoy,2022-04-01,p1,27.027
growth_yoy,2022-04-01,p2,47.29
growth_yoy,2022-04-01,p3,17.513
growth_yoy,2022-04-01,p4,7.55
growth_yoy,2022-04-01,p5,14.538
growth_yoy,2022-04-01,p6,6.77
growth_yoy,2022-07-01,p0,21.076
growth_yoy,2022-07-01,p1,0.012
growth_yoy,2022-07-01,p2,56.109
growth_yoy,2022-07-01,p3,21.509
growth_yoy,2022-07-01,p4,20.226
growth_yoy,2022-07-01,p5,20.082
growth_yoy,2022-07-01,p6,27.234
growth_yoy,2022-10-01,p0,10.286
growth_yoy,2022-10-01,p1,-13.077
growth_yoy,2022-10-01,p2,28.678
growth_yoy,2022-10-01,p3,10.045
growth_yoy,2022-10-01,p4,12.845
growth_yoy,2022-10-01,p5,11.907
growth_yoy,2022-10-01,p6,10.633
growth_yoy,2023-01-01,p0,4.942
growth_yoy,2023-01-01,p1,-19.497
