series,date,type,value
abs,2019-01-01,e3.2,84364.0
abs,2019-01-01,e3.2.1,21305.0
abs,2019-01-01,e3.2.2,63059.0
abs,2019-01-01,e4,-8658.0
abs,2019-01-01,e5,240098.0
abs,2019-01-01,e5.1,198412.0
abs,2019-01-01,e5.2,41687.0
abs,2019-01-01,e6,207995.0
abs,2019-01-01,e6.1,164622.0
abs,2019-01-01,e6.2,43372.0
abs,2019-04-01,e0,371603.0
abs,2019-04-01,e1,220640.0
abs,2019-04-01,e1.1.01,50322.0
abs,2019-04-01,e1.1.03,7124.0
abs,2019-04-01,e1.1.04,33429.0
abs,2019-04-01,e1.1.05,11474.0
abs,2019-04-01,e1.1.07,26249.0
abs,2019-04-01,e1.1.08,18199.0
abs,2019-04-01,e1.1.09,14087.0
abs,2019-04-01,e1.1.11,24521.0
abs,2019-04-01,e1.1.12,35238.0
abs,2019-04-01,e2,40406.0
abs,2019-04-01,e3,91776.0
abs,2019-04-01,e3.1,91776.0
abs,2019-04-01,e3.1.1,56099.0
abs,2019-04-01,e3.1.2,28167.0
abs,2019-04-01,e3.1.3,7510.0
abs,2019-04-01,e3.2,91776.0
abs,2019-04-01,e3.2.1,18736.0
abs,2019-04-01,e3.2.2,73040.0
abs,2019-04-01,e4,-5991.0
abs,2019-04-01,e5,244463.0
abs,2019-04-01,e5.1,203440.0
abs,2019-04-01,e5.2,41023.0
abs,2019-04-01,e6,219692.0
abs,2019-04-01,e6.1,174817.0
abs,2019-04-01,e6.2,44875.0
abs,2019-07-01,e0,382278.0
abs,2019-07-01,e1,235895.0
abs,2019-07-01,e1.1.01,56886.0
abs,2019-07-01,e1.1.03,8795.0
abs,2019-07-01,e1.1.04,34289.0
abs,2019-07-01,e1.1.05,12508.0
abs,2019-07-01,e1.1.07,30610.0
abs,2019-07-01,e1.1.08,18158.0
abs,2019-07-01,e1.1.09,15218.0
abs,2019-07-01,e1.1.11,25566.0
abs,2019-07-01,e1.1.12,33866.0
abs,2019-07-01,e2,41167.0
abs,2019-07-01,e3,86538.0
abs,2019-07-01,e3.1,86539.0
abs,2019-07-01,e3.1.1,50913.0
abs,2019-07-01,e3.1.2,28388.0
abs,2019-07-01,e3.1.3,7238.0
abs,2019-07-01,e3.2,86538.0
abs,2019-07-01,e3.2.1,21602.0
abs,2019-07-01,e3.2.2,64936.0
abs,2019-07-01,e4,-9671.0
abs,2019-07-01,e5,249305.0
abs,2019-07-01,e5.1,204400.0
abs,2019-07-01,e5.2,44906.0
abs,2019-07-01,e6,220957.0
abs,2019-07-01,e6.1,174727.0
